#
# KWIC Concordance.
# Format: tab-separated, UTF-8. Corpus engine: Corpuscle, Clarino K Centre, Bergen
#
# Corpus:         (GRC)
# Query:          [slemma = "ტკივება"] | [slemma = "ტკენა"] 
# Matches:        6628
# Excluded:       0
# Execution time: 0.018666 sec. (0.012737 CPU sec.)
#
# match	slemma	lemma	features	
#
მტკივა	ტკივება	ტკივებ[ა]/ტკივ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:1Sg DO:3
სტკივაო	ტკივება	ტკივებ[ა]/ტკივ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 Encl:IndSp3
გტკივა	ტკივება	ტკივებ[ა]/ტკივ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:2Sg DO:3
გტკივა	ტკივება	ტკივებ[ა]/ტკივ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:2Sg DO:3
მტკივა	ტკივება	ტკივებ[ა]/ტკივ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:1Sg DO:3
მტკივა	ტკივება	ტკივებ[ა]/ტკივ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:1Sg DO:3
მტკივა	ტკივება	ტკივებ[ა]/ტკივ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:1Sg DO:3
მტკივა	ტკივება	ტკივებ[ა]/ტკივ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:1Sg DO:3
სტკივაო	ტკივება	ტკივებ[ა]/ტკივ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 Encl:IndSp3
გტკივათ	ტკივება	ტკივებ[ა]/ტკივ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> DO:3 S:2Pl
სტკიოდა	ტკივება	ტკივებ[ა]/ტკივ¦ტკივებ[ა]/ტკი	V Pass Inv Impf <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3
